PI,Code,Name,Division
Prof. Bill Byrne,F-wjb31-1,Multimodal AI,F
Prof. Stewart Cant,A-rsc10-1,Molecular diffusivity of hydrocarbons at supercritical conditions,A
Prof. Stewart Cant,A-rsc10-2,Advanced CFD for Flames,A
Prof. Stewart Cant,A-rsc10-3,Flames and Walls,A
Dr George Cantwell,F-gtc31-1,Entropy and random networks,F
Dr George Cantwell,F-gtc31-2,Collective motion in high dimensions,F
Prof. David Cebon,C-dc29-1,Lorry Tyre Wear,C
Prof. David Cebon,C-dc29-4,4.25t Eco Lorry Design,C
Prof. David Cebon,C-dc29-6,Agent-based modelling of electric lorries,C
Prof. David Cebon,C-dc29-7,Modelling Heat Networks,C
Dr Qixiang Cheng,B-qc223-1,Integrated Reconstructive Spectrometers: Optimization and Applications,B
Dr Qixiang Cheng,B-qc223-2,Ultralow-Crosstalk Mach-Zehnder Switches for Data-centres,B
Prof. Ruchi Choudhary,D-rc488-1,Natural Cooling Under Heat Stress,D
Prof. Ruchi Choudhary,D-rc488-2,Energy Performance of New Buildings,D
Prof. Ruchi Choudhary,D-rc488-3,Understanding Buildings Through Their Time Series Data,D
Prof. Daping Chu,B-dpc31-1,Free space optical computing,B
Prof. Daping Chu,B-dpc31-2,Tunable Metasurface,B
Prof. Daping Chu,B-dpc31-3,Augmented Reality (AR) immersive Head Up Display (iHUD),B
Dr Alice Cicirello,C-ac685-1,Laboratory Benchmark for Physics-Enhanced Machine Learning,C
Dr Alice Cicirello,C-ac685-2,From text to Graph Neural Networks of dynamical systems,C
Dr Alice Cicirello,C-ac685-3,Machine Learning approaches to flight trajectory planning under uncertainty and multi-modal data (with BOEING),C
Prof. Roberto Cipolla,F-rc10001-2,Building a food diary mobile phone app using computer vision,F
Prof. Roberto Cipolla,F-rc10001-3,Body composition using a mobile phone camera,F
Prof. Roberto Cipolla,F-rc10001-4,Muscle frailty evaluation using a mobile phone camera,F
Dr Chris Clark,A-cjc95-1,Visualising Air Flow around Swinging Cricket Balls,A
Dr Chris Clark,A-cjc95-2,Silent Fan Design: Balancing Airflow and Acoustics,A
Prof. Tim Coombs,B-tac1000-1,Flux Pumping - super strong magnets and their applications,B
Prof. Tim Coombs,B-tac1000-2,Robot design,B
Prof. Tim Coombs,B-tac1000-3,Robot Navigation,B
Prof. Tim Coombs,B-tac1000-4,Condition monitoring of Train Rails,B
Prof. Tim Coombs,B-tac1000-5,corona discharge on the railways,B
Dr Paul Cosgrove,A-pmc55-2,"Developing a fast, accurate nuclear reactor simulator",A
Dr Paul Cosgrove,A-pmc55-3,Developing a nuclear reactor thermal-hydraulics solver,A
Dr Paul Cosgrove,A-pmc55-4,Radiative models for lightning,A
Dr Paul Cosgrove,A-pmc55-5,Improved nuclear data representation in Monte Carlo neutron transport,A
Prof. Jonathan Cullen,C-jmc99-3,Emission Hotspot Analysis of the Gaming Console Value Chain,C
Prof. Jonathan Cullen,C-jmc99-4,Applying Quantitative Risk Analysis to Global Lithium Supply Chains,C
Prof. Jonathan Cullen,C-jmc99-5,Building a Global Database of Supply Chain Disruptions and Their Economic Impacts,C
Prof. Jonathan Cullen,C-jmc99-6,Modelling Downstream Carbon Emissions on the Road to Net Zero,C
Prof. Jonathan Cullen,C-jmc99-7,Techno-economic and scale up implications of novel end-to-end plastics-to-plastic chemical recycling technology to support start-up,C
Dr Pieter Desnerck,D-prhd2-1,No more nails – Japanese joinery applied to modern timber frames,D
Dr Pieter Desnerck,D-prhd2-2,Structural behaviour of timber carpentry joints in existing buildings,D
Dr John Dudley,F-jjd50-1,Individual Reachability Modelling and Adaptation for Accessible Interaction in VR,F
Dr John Dudley,F-jjd50-2,Delivering 'Just-in-Time' User Support,F
Dr John Dudley,F-jjd50-3,Facilitating Caret Navigation for Mid-Air Text Editing in VR,F
Dr John Dudley,F-jjd50-4,Human-Robot Collaboration for Sequential Tasks with Variations,F
Prof. John Durrell,C-jhd25-1,Energy Storage Flywheel with Superconducting Bearing,C
Prof. Andrea Ferrari,B-acf26-1,Graphene-based transceivers for energy efficient AI and data centres,B
Dr Shaun Fitzgerald,C-sdf10-1,Climate Repair - Marine Cloud Brightening,C
Dr Shaun Fitzgerald,C-sdf10-2,Perturbations for controlling droplet break-up in marine cloud brightening,C
Prof. Andrew Flewitt,B-ajf23-1,Surface Acoustic Wave Ring Resonator,B
Prof. Andrew Flewitt,B-ajf23-2,Dual-Mode Film Bulk Acoustic Resonator Data Extraction,B
Prof. Andrew Flewitt,B-ajf23-3,P-channel Oxide Thin Film Transistors for CMOS Logic,B
Prof. Andrew Flewitt,B-ajf23-4,Modelling of Thin Film Transistor Architectures for CMOS Logic,B
Prof. Fulvio Forni,F-ff286-1,Automatic Synthesis of Virtual Model Controllers for Robotics,F
Prof. Fulvio Forni,F-ff286-2,Data-driven passive control.,F
Dr Robert Foster,D-rmf41-1,"Size matters: understanding size and scale effects for the safe design of very large, engineered timber structures.",D
Dr Robert Foster,D-rmf41-2,Development of a novel mass timber composite slab with improved fire resistance,D
Dr Robert Foster,D-rmf41-3,Lateral stability of CLT structures,D
Dr Robert Foster,D-rmf41-4,Structural robustness of CLT structures,D
Prof. Mark Gales,F-mjfg100-1,Expected LLM Hallucination Rate Estimation,F
Prof. Mark Gales,F-mjfg100-2,Shortcuts and LLM Unlearning,F
Prof. Andrew Gee,F-ahg13-1,4D reconstruction of cochlea implant insertions,F
Prof. Andrew Gee,F-ahg13-2,Simulation of middle and inner ear surgery,F
Prof. Mark Girolami,D-mag92-1,Learning priors for physics on graphs,D
Prof. Mark Girolami,F-mag92-2,Constructing Better Similarity Metrics through Local Geometric Sampling,F
Dr Stephan Goetz,B-smg84-1,Noninvasive Magnetic Brain Stimulation: Exploiting Novel Design Concepts for Targeting the Mood Regulation Network and the Treatment of Depression and Bipolar Disorder,B
Dr Stephan Goetz,B-smg84-2,Artificial Intelligence for Designing Noninvasive Brain Stimulation Coils,B
Dr Stephan Goetz,B-smg84-3,Reduction of Scalp Sensation in Noninvasive Brain Stimulation Through Realistic Neurone Models,B
Dr Amparo Guemes Gonzalez,B-ag2239-1,Classification of epileptic seizures using vagus nerve and glucose recordings,B
Dr Amparo Guemes Gonzalez,B-ag2239-2,Interactive Interface Development for Neural Signal Processing in Python.,B
Dr Amparo Guemes Gonzalez,B-ag2239-3,Investigating the Short-Term Effects of Non-Invasive Vagus Nerve Stimulation,B
Dr Will Graham,A-wrg11-1,Transition on curved surfaces,A
Dr Will Graham,A-wrg11-2,Strainer whistle,A
Dr Sam Grimshaw,A-sdg33-1,Aerodynamic Probe Measurements with Sparse Calibrations,A
Dr Sam Grimshaw,A-sdg33-2,High Speed Electric Jet Engines,A
Prof. Stuart Haigh,D-skh20-1,Giken- Implant structures,D
Prof. Stuart Haigh,D-skh20-2,Mechanics of the Plastic Limit Test,D
Prof. Chez Hall,A-cah1003-1,Fan Response to Distortions Related to Boundary Layer Ingestion,A
Prof. Chez Hall,A-cah1003-2,Integration of Aircraft Fuel Cell Heat Exchangers,A
Prof. Chez Hall,A-cah1003-3,Boundary Layer Ingestion for a Hydrogen Aircraft,A
Dr Jim Hambleton,D-jh631-1,Measurement of terrain surface profiles for applications in terrestrial robotics,D
Dr Jim Hambleton,D-jh631-2,Estimation of operating limits for burrowing organisms in soils and solids,D
Dr Jim Hambleton,D-jh631-3,Room design for musical acoustics: a case study of Caius Chapel,D
Dr Jim Hambleton,D-jh631-4,Optimisation of tool shapes for autonomous robot-soil interaction,D
Prof. John Harvey,A-jkh28-1,A study of the structure of the flow in the region where a tornado's vortex is in contact with the ground.,A
Prof. John Harvey,A-jkh28-2,An experimental study of the influence of buildings and other obstructions situated on the ground on the development of tornados.,A
Prof. John Harvey,A-jkh28-3,A wind tunnel investigation of the vortices formed in the Venturi tunnels in the floor beneath an F1 car.,A
Prof. Guillaume Hennequin,F-gjeh2-1,Inferring the dynamics of an ultradian rhythm generator controlling fertility in mice,F
Prof. Guillaume Hennequin,F-gjeh2-2,Meta-RL of recurrent neural networks for flexible navigation,F
Prof. Guillaume Hennequin,F-gjeh2-3,Modelling plasticity in the mouse olfactory bulb,F
Prof. Simone Hochgreb,A-sh372-1,Analysis of 3D flame data,A
Prof. Simone Hochgreb,A-sh372-2,PCA and machine learning analysis of signals to measure scalars in reacting flows,A
Prof. Simone Hochgreb,A-sh372-3,Design and modelling of a low-cost aerosol particle counting device,A
Prof. Shery Huang,C-yysh2-1,3D printing hydrogels,C
Prof. Shery Huang,C-yysh2-2,3D printing of hydrogel 2,C
Prof. Gary Hunt,A-grh20-1,`Emptying liquid-filled vessels’ - the fluid mechanics of the glug-glug mechanism & how to empty a wine bottle in the minimum time,A
Prof. Gary Hunt,A-grh20-2,The stability of a flickering flame in an open container - fluid mechanics and flow visualisation,A
Prof. Gary Hunt,A-grh20-3,On the rotation of melting ice disks & vortical motion induced by turbulent meltwater plumes,A
Prof. Gary Hunt,A-grh20-4,Bubble plumes and dissolving tablets - an experimental study,A
Prof. Hugh Hunt,C-hemh1-1,Trinity Clock - thermal effects,C
Prof. Hugh Hunt,C-hemh1-3,Clock monitoring for a Regulator,C
Prof. Hugh Hunt,C-hemh1-4,Effervescent Spray nozzles for MCB - Climate Repair,C
Prof. Hugh Hunt,C-hemh1-5,Measuring air flow in a wind tunnel - Climate Repair - Marine Cloud Brightening -,C
Prof. Hugh Hunt,C-hemh1-6,Cloud monitoring system for a solar-powered drone - Climate Repair - Marine Cloud Brightening,C
Prof. Hugh Hunt,C-hemh1-7,Calibration of a pitot tube on a drone - Climate Repair - Marine Cloud Brightening -,C
Prof. Hugh Hunt,C-hemh1-9,Seawater filtration - Climate Repair - Marine Cloud Brightening -,C
Prof. Hugh Hunt,C-hemh1-10,Albedo enhancement from ship wakes - Climate Repair - Solar Radiation Management,C
Prof. Hugh Hunt,C-hemh1-11,CFD of nozzle design for Marine Cloud Brightening - Climate Repair,C
Dr Jerome Jarrett,C-jpj1001-1,UK to Australia Zero Emission Flight,C
Prof. Hannah Joyce,B-hjj28-1,Optoelectronics-grade III-V semiconductor films fabricated by mechanical spalling,B
Prof. Hannah Joyce,B-hjj28-2,Fabricating GaP terahertz metasurfaces using reactive ion etching,B
Prof. Hannah Joyce,B-hjj28-3,Oxide-based carrier-selective contacts for III-V solar cells,B
Prof. Matthew Juniper,A-mpj1001-1,Identifying blood vessel boundaries from Flow-MRI data (2 projects),A
Dr Kate Knill,F-kmk1001-1,Natural Language-based Assessment (NLA) of L2 English learner speech,F
Dr Kate Knill,F-kmk1001-2,Bias Detection in Speech and Language Foundation Models,F
Dr Kate Knill,F-kmk1001-3,Audio Driven Facial Animation,F
Prof. Janet Lees,D-jml1010-1,Tailored reinforced concrete infrastructure,D
Prof. Janet Lees,D-jml1010-2,Unlocking cement minimisation,D
Prof. Janet Lees,D-jml1010-3,Technology driven insights into the behaviour of concrete,D
Dr Demetrios Lefas,A-dl467-1,Experimentally Investigating the Effects of Sweep on the Aeroelastic Stability of Future Wings,A
Dr Demetrios Lefas,A-dl467-2,Experimentally Investigating the Gust Alleviating Behaviour of Flapping Wing-Tips on Future Wings,A
Dr Demetrios Lefas,A-dl467-3,AI Agent for Aircraft Conceptualisation,A
Prof. Mate Lengyel,F-ml468-1,Computations in neural circuits,F
Prof. Ioannis Lestas,F-icl20-1,Decentralized control and optimization of renewable based energy networks,F
Prof. Ioannis Lestas,F-icl20-2,On-policy reinforcement learning with stability guarantees,F
Dr Dongfang Liang,D-dl359-1,CFD simulation of the surface water flooding and its mitigation using nature-based measures,D
Dr Dongfang Liang,D-dl359-2,Precise surveying on Coe Fen,D
Dr Dongfang Liang,D-dl359-3,Computer modelling of ocean wave propagation over vegetated beaches and islands,D
Dr Dongfang Liang,D-dl359-4,Numerical study of water wave energy concentration with wave guides,D
Dr Dongfang Liang,D-dl359-5,Hydraulic modelling of River Cam,D
Dr Dongfang Liang,D-dl359-6,Analysing environmental sensor data of Churchill College buildings,D
Dr Dongfang Liang,D-dl359-7,Developing an AI-Powered Virtual Assistant for Churchill College,D
Dr Burigede Liu,C-bl377-1,Deep Mechanician - large language model for mechanics research,C
Dr Burigede Liu,C-bl377-2,Reinforcement learning from human feedback in mechanics engineering,C
Prof. Teng Long,B-tl322-1,Soft-switching to increase efficiency of EV traction inverters,B
Prof. Teng Long,B-tl322-2,Control of DC-DC converters for powering GPUs,B
Dr Peter Long,C-pjgl2-1,Lone working safety system,C
Dr Peter Long,C-pjgl2-2,Multi feature workbench,C
Dr Peter Long,C-pjgl2-3,Enhanced monitoring of the infirm/elderly,C
Dr Peter Long,C-pjgl2-4,Bio-Engineering,C
Dr Peter Long,C-pjgl2-5,Low Cost Lab Test Equipment,C
Dr John Longley,A-jpl1000-1,Flow structure downstream of bar turbulence grids,A
Dr John Longley,A-jpl1000-2,Experimental investigation of Laminar flow over rough surfaces,A
Dr John Longley,A-jpl1000-3,CFD of Laminar flow over periodic rough surface,A
Prof. Gopal Madabhushi,D-mspg1-1,Foundations for Floating offshore wind farms,D
Prof. Gopal Madabhushi,D-mspg1-2,How quick is the pore pressure transmission in porous media?,D
Prof. Gopal Madabhushi,D-mspg1-3,Pipelines in liquefied soils,D
Prof. Gopal Madabhushi,D-mspg1-4,Insulated raft foundations for Passivhaus design,D
Prof. Gopal Madabhushi,D-mspg1-5,Hydrostatic uplift and the effect on basements,D
Prof. Gopal Madabhushi,D-mspg1-6,Seismic Liquefaction - predicting the excess pore pressure generation,D
Prof. George Malliaras,B-gm603-1,Machine Learning for Diagnostic Support in Canine Mitral Valve Disease,B
Prof. George Malliaras,B-gm603-2,Development of a Wearable Holter Monitor with Advanced Electrode Coatings,B
Prof. George Malliaras,B-gm603-3,High-Density Electrode Arrays for Prosthetic Hand Control,B
Prof. George Malliaras,B-gm603-4,Laser Fabrication Optimization for Medical Device Manufacturing and Aging Research,B
Dr Flavia Mancini,F-fm456-1,Engineering Approaches to Neural Coding of Pain and Defensive Behaviors (I),F
Dr Flavia Mancini,F-fm456-2,Engineering Approaches to Neural Coding of Pain and Defensive Behaviors (II),F
Dr Flavia Mancini,F-fm456-3,Engineering Approaches to Neural Coding of Pain and Defensive Behaviors (III),F
Dr Shreyas Mandre,A-sdm63-1,Settling of microplastics,A
Dr Shreyas Mandre,A-sdm63-2,Resuspension of grains in a flow,A
Dr Shreyas Mandre,A-sdm63-3,Tandem tidal turbines,A
Prof. Athina Markaki,C-am253-1,Preclinical testing of bioengineered vascular grafts for dialysis,C
Prof. Athina Markaki,C-am253-2,Hierarchical vascular networks for tissue engineering,C
Prof. Athina Markaki,C-am253-3,Automated cell segmentation and tracking of patient-derived GBM cultures on 2D substrates,C
Prof. Nondas Mastorakos,A-em257-1,Modelling of wildfire propagation,A
Prof. Ricardo Garcia Mayoral,A-rg471-1,Smart and complex surfaces for turbulent drag reduction and flow control,A
Prof. Ricardo Garcia Mayoral,A-rg471-2,"Inter-scale causality in turbulent boundary layers, and its application to flow control",A
Dr Xiaoxiang Na,C-xnhn2-1,Evaluation the implications of fast charging on long-haul road freight operations,C
Prof. Luigi Occhipinti,B-lgo23-1,Biosensing in an Electrowetting On Dielectric Digital Microfluidics platform,B
Prof. Luigi Occhipinti,B-lgo23-2,Design of a Smart Sensors and AI-assisted Wearable Ankle Exoskeleton,B
Prof. Luigi Occhipinti,B-lgo23-3,Control System Design for an Active Ankle Exoskeleton,B
Dr Ming Onn,A-tmo32-1,Membrane Development for Fuel Cell and CO2 Capture,A
Dr Ming Onn,A-tmo32-2,Cooling hypersonic (mach 4 and mach 5) jets by using fuel as a coolant? Let's reform.,A
Dr Ming Onn,A-tmo32-3,Breaking down pyrolysed plastic to hydrogen with perovskite-metal catalyst,A
Dr Ming Onn,A-tmo32-4,Mars and Space Travel - Making fuel for the journey back to earth,A
Prof. John Orr,D-jjo33-1,Using stone in place of concrete,D
Prof. John Orr,D-jjo33-2,Low Carbon Umbrella Pads,D
Prof. John Orr,D-jjo33-3,"Digital Models, Physical Results: A Critical Validation of AI-Based Concrete Strength Predictions",D
Prof. John Orr,D-jjo33-4,Biochar concrete,D
Prof. John Orr,D-jjo33-5,Achieving circularity in construction using ‘waste’ materials,D
Prof. Geoff Parks,A-gtp10-1,Optimization of Irregular PWR Assemblies to Facilitate Power Uprates,A
Prof. Geoff Parks,A-gtp10-2,Mitigating Catastrophic Forgetting in Grammar Generation and Solution Prediction,A
Prof. Graham Pullan,A-gp10006-1,Controlling simulation visualisation with your hands,A
Prof. Graham Pullan,A-gp10006-2,Augmented reality for simulation visualisation,A
Dr Nathan Read,A-nr438-1,Passive safety aspects of organic-cooled nuclear reactors,A
Dr Nathan Read,A-nr438-2,Rapid simulation of a space reactor core for non-nuclear physical demonstration,A
Dr Rich Roebuck,C-rlr20-1,Digital Manufacturing First Year Undergraduate Laboratory Exercise Development,C
Dr Rich Roebuck,C-rlr20-2,Security Access Control for Makerspace Workshop Equipment and Resources,C
Dr Rich Roebuck,C-rlr20-3,Dyson Centre Mini-Training Activities,C
Dr Luca Sapienza,B-ls2052-1,Simulation of electromagnetic wave propagation in nanostructures,B
Dr Luca Sapienza,B-ls2052-2,Single-photon emission by solid-state nanostructures,B
Dr Thierry Savin,C-ts573-1,Developing the user interface of a tensile test device for soft biological tissues,C
Dr Thierry Savin,C-ts573-2,Analysing microvascular blood flow using machine learning computer vision,C
Prof. Seb Savory,B-sjs1001-1,Probabilistic design for optical networking in the presence of uncertainty,B
Prof. Seb Savory,B-sjs1001-2,Rare events in optical fibre communication systems,B
Prof. Seb Savory,B-sjs1001-3,Ultra-high capacity optical access networks,B
Prof. Seb Savory,B-sjs1001-4,Machine learning for optical networking in the presence of uncertainty,B
Prof. Seb Savory,B-sjs1001-5,Energy Efficient 200 Gbit/s Transceivers for Optical Access Networks,B
Dr Jossy Sayir,F-js851-1,Data Compression for Efficient Cloud Storage Updates,F
Dr Jossy Sayir,F-js851-2,Data Storage on DNA: Insertion-Deletion coding,F
Dr Jossy Sayir,F-js851-3,MIMO techniques in 5/6G,F
Dr Jossy Sayir,F-js851-4,Arithmetic Coding and Related Algorithms,F
Dr Matteo Seita,C-ms2932-1,Mechanics of metals with site-specific microstructures,C
Dr Matteo Seita,C-ms2932-2,“Sustainable” additive manufacturing,C
Dr Matteo Seita,C-ms2932-3,High-throughput characterization of paleostress in geological samples,C
Dr Matteo Seita,C-ms2932-4,Advanced optical characterization of aerospace alloys,C
Dr Matteo Seita,C-ms2932-5,Tracking medieval manuscripts by reverse engineering the paper-making process,C
Dr Matteo Seita,C-ms2932-6,Understanding Plastic Deformation using Directional Reflectance Microscopy (DRM),C
Dr Matteo Seita,C-ms2932-7,Surface analysis of composite materials using directional reflectance microscopy (DRM),C
Dr Matteo Seita,C-ms2932-8,Logistics for barcode detection on engineering components in factory settings,C
Dr Matteo Seita,C-ms2932-9,Devising new barcoding strategies to be used in composites,C
Dr Matteo Seita,C-ms2932-10,Microstructure modelling during additive manufacturing processes,C
Dr Matteo Seita,C-ms2932-11,"Leveraging non-linear, secondary harmonic generation (SSHG) optics for digital barcoding of engineering components",C
Dr Matteo Seita,C-ms2932-12,Mechanical Testing and Thermal Modelling of 3D printed metals,C
Dr Matteo Seita,C-ms2932-13,Investigating the solidification microstructure of metals using operando scanning electron microscopy,C
Dr Sakthy Selvakumaran,D-ss683-1,Future approaches to the inspection of bridges,D
Dr Sakthy Selvakumaran,D-ss683-2,Developing a Low-Cost Structural Movement Monitoring System for Urban Search and Rescue (USAR),D
Dr Sakthy Selvakumaran,D-ss683-3,Earth Observation Data Analysis for Post Disaster Scenarios: Myanmar & Thailand 2025,D
Dr Darshil Shah,C-dus20-1,Material Flow Analysis of Wood Products for Construction in Europe,C
Dr Darshil Shah,C-dus20-2,Mimicking the dynamic shape-changing behaviour of pine cones in 3D-printed structures,C
Dr Darshil Shah,C-dus20-3,Studying and mimicking shock-absorbing structures from Nature,C
Dr Brian Sheil,D-bbs24-1,Digital Reconstruction of Underground Infrastructure: Combining Physics-Informed Deep Learning and Ground Penetrating Radar,D
Dr Brian Sheil,D-bbs24-2,3D Model Inpainting for Point Clouds Using Neural Radiance Fields (NeRF),D
Dr Sam Stanier,D-sas229-1,Laboratory data acquisition system development,D
Dr Sam Stanier,D-sas229-2,Subsea cable stability,D
Dr Sam Stanier,D-sas229-3,A 21st century laboratory testing device for geotechnical engineering,D
Prof. Michael Sutcliffe,C-mpfs1-1,Biomechanics of the foot and ankle,C
Prof. Michael Sutcliffe,C-mpfs1-2,Jaw repair and chewing forces,C
Prof. Michael Sutcliffe,C-mpfs1-3,Clinical assessment of movement using pose estimation software,C
Prof. Michael Sutcliffe,C-mpfs1-4,Knee stabilisation surgery,C
Prof. Swami Swaminathan,A-ns341-1,CFD simulation of paediatric tracheal stenosis,A
Dr Matthew Tang,B-wct26-1,Energy-efficient RISC-V ISA extensions for Trigonometric Functions,B
Dr Matthew Tang,B-wct26-2,Spiking Neural Network (SNN) Implementation on FPGA,B
Dr Matthew Tang,B-wct26-3,Decoding Arithmetic Functions of Gate-level Digital Circuit Designs,B
Dr Matthew Tang,B-wct26-4,Optimising Digital Designs with Multibit Flip-Flops,B
Dr Iman Tavakkolnia,B-it360-1,Statistical modelling of VR headset movement for high-speed optical wireless communication channels,B
Dr Iman Tavakkolnia,B-it360-2,Laser-based wireless charging of UAVs [Supported by Boeing],B
Dr Iman Tavakkolnia,B-it360-3,Optical wireless communication and station-keeping for UAVs [Supported by Boeing],B
Dr Iman Tavakkolnia,B-it360-4,Optical communication and sensing for space applications [Supported by Boeing],B
Dr Iman Tavakkolnia,B-it360-5,Optical satellite communication enabled by Orbital Angular Momentum [Supported by Boeing],B
Dr James Taylor,A-jvt24-1,Improving the Operability of Damaged Compressors with Machine Learning,A
Dr James Taylor,A-jvt24-2,Flow Topology and Dynamics of Compressor Corner Separations,A
Dr Ayush Tewari,F-at2164-1,Learning about visual scenes from human feedback,F
Dr Ayush Tewari,F-at2164-2,Out-of-distribution generalization in computer vision,F
Dr Marcus Tomalin,F-mt126-1,Detecting LLM-Generated Texts Automatically,F
Dr Marcus Tomalin,F-mt126-2,LLMs for Legal Judgment Prediction: Generating Explanations,F
Prof. Graham Treece,F-gmt11-1,When does bone have a cortical layer?,F
Prof. Graham Treece,F-gmt11-2,Efficient shadow-mapping for omnidirectional lights,F
Prof. Graham Treece,F-gmt11-3,Automatic transfer functions for volume visualisation,F
Prof. Rich Turner,F-ret26-1,Neural Processes for Time-Series and Spatio-Temporal Forecasting,F
Prof. Rich Turner,F-ret26-2,GGN Influence Functions for Billion Parameter Models*,F
Prof. Ramji Venkataramanan,F-rv285-1,Lossy Compression via Diffusion Sampling,F
Prof. Ramji Venkataramanan,F-rv285-2,Bayesian regression for high-dimensional rhythmic data,F
Prof. Ramji Venkataramanan,F-rv285-3,Learning Cellular Trajectories through Vector Field Modeling and End-to-End Training,F
Prof. Ramji Venkataramanan,F-rv285-4,Measurements in 6G wireless communications systems,F
Dr Maria Vera-Morales,A-mv234-1,Preliminary design tools for Aircraft modelling,A
Dr Maria Vera-Morales,A-mv234-2,Decarbonization of Aviation – Airport Modelling,A
Prof. Giulia Viggiani,D-gv278-1,Roots for liquefaction mitigation,D
Prof. Giulia Viggiani,D-gv278-2,Experimental evaluation of frost jacking of piled foundations,D
Prof. Giulia Viggiani,D-gv278-3,Lateral capacity of piled foundations in sand,D
Prof. Giulia Viggiani,D-gv278-4,Robotic seeds for environmental monitoring and reforestation,D
Prof. Giulia Viggiani,D-gv278-5,Uncommon grounds: design the foundation of future habitable bases on the Moon,D
Dr Alex White,A-ajw36-1,Solar-assisted ground-source heat pump analysis,A
Dr Alex White,A-ajw36-2,Energy Storage: Thermochemical storage.,A
Dr Alex White,A-ajw36-3,Energy Storage: Whole-system analysis,A
Prof. Tim Wilkinson,B-tdw13-1,Holographic projection for visual illusions,B
Prof. Tim Wilkinson,B-tdw13-2,The Internet of equine - sensing gait on a horse and rider,B
Prof. Tim Wilkinson,B-tdw13-3,Pixel-less displays,B
Prof. Tim Wilkinson,B-tdw13-4,Wide area battery network,B
Dr Elliott Wu,F-sw2181-1,Reconstructing 3D Object Motion from Videos,F
Dr Elliott Wu,F-sw2181-2,Distilling 3D Part-level Dynamics from Video Generation Models,F
